,pl,be,uk,ru,bg,sl,cs,gender,en
3875,August von Mackensen,Аўгуст фон Макензен,Август фон Макензен,Август Макензен,Аугуст фон Макензен,August von Mackensen,August von Mackensen,m,August von Mackensen
3876,Bazyli II Bułgarobójca,Васілій II Балгарабойца,Василій II Болгаробійця,Василий II Болгаробойца,Василий II Българоубиец,Bazilij II,Basileios II. Bulgaroktonos,m,Basil II
3877,Nicefor I ,Нікіфар I,Никифор I,Никифор I,Никифор I Геник,Nikifor I. Logotet,Nikeforos I,m,Nikephoros I
3878,Nicefor II Fokas,Нікіфар II Фока,Никифор II Фока,Никифор II Фока,Никифор II Фока,Nikifor II. Fokas,Nikeforos II,m,Nikephoros II Phokas
3879,Cillian Murphy,Кіліян Мёрфі,Кілліан Мерфі,Киллиан Мерфи,Килиън Мърфи,Cillian Murphy,Cillian Murphy,m,Cillian Murphy
3880,Hans Zimmer,Ганс Цымер,Ганс Циммер,Ханс Циммер,Ханс Цимер,Hans Zimmer,Hans Zimmer,m,Hans Zimmer
3881,Jerzy z Podiebradów,Іржы з Подзебрадаў,Їржі з Подєбрад,Йиржи из Подебрад,Иржи ,Jurij Podjebradski,Jiří z Poděbrad,m,George of Poděbrady
3882,Władysław II Jagiellończyk,Уласла II,Владислав II Ягеллончик,Владислав II Ягеллон,Уласло II,Vladislav II. Ogrski,Vladislav Jagellonský,m,Vladislaus II of Hungary
3883,Louis Braille,Луі Брайль,Луї Брайль,Луи Брайль,Луи Брайл,Louis Braille,Louis Braille,m,Louis Braille
3884,Ludwig Prandtl,Людвіг Прандтль,Людвіґ Прандтль,Людвиг Прандтль,Лудвиг Прантъл,Ludwig Prandtl,Ludwig Prandtl,m,Ludwig Prandtl
3885,Thomas Kuhn,Томас Сэмюэл Кун,Томас Кун,Томас Кун,Томас Кун,Thomas Kuhn,Thomas Samuel Kuhn,m,Thomas Kuhn
3886,Satyendra Nath Bose,Шацьендранат Бозе,Шатьєндранат Бозе,Шатьендранат Бозе,Сатиендра Нат Бозе,Satjendra Nat Bose,Šatendranáth Bose,m,Satyendra Nath Bose
3887,Richard Coudenhove-Kalergi,Рыхард Нікалас фон Кудэнгофэ-Калергі,Ріхард Ніколас Куденгофе-Калерґі,Рихард Куденхове-Калерги,Рихард Куденхофе-Калерги,Richard Coudenhove-Kalergi,Richard Mikuláš Coudenhove-Kalergi,m,Richard von Coudenhove-Kalergi
3888,Narendra Modi,Нарэндра Модзі,Нарендра Моді,Нарендра Моди,Нарендра Моди,Narendra Modi,Naréndra Módí,m,Narendra Modi
3889,Joko Widodo,Джока Відода,Джоко Відодо,Джоко Видодо,Джоко Уидодо,Joko Widodo,Joko Widodo,m,Joko Widodo
3890,Matteo Salvini,Матэа Сальвіні,Маттео Сальвіні,Маттео Сальвини,Матео Салвини,Matteo Salvini,Matteo Salvini,m,Matteo Salvini
3891,Michaił Aleksiejew ,Міхаіл Васільевіч Аляксееў,Михайло Алексєєв,Михаил Алексеев,Михаил Алексеев,Mihail Vasiljevič Aleksejev,Michail Vasiljevič Alexejev,m,Mikhail Alekseyev
3892,Richard Dawkins,Рычард Докінз,Річард Докінз,Ричард Докинз,Ричард Докинс,Richard Dawkins,Richard Dawkins,m,Richard Dawkins
3893,Donald Trump,Дональд Трамп,Дональд Трамп,Дональд Трамп,Доналд Тръмп,Donald Trump,Donald Trump,m,Donald Trump
3894,A.J.P. Taylor,Алан Тэйлар ,Алан Джон Персиваль Тейлор,Алан Тейлор,Алън Тейлър,Alan John Percival Taylor,Alan John Percivale Taylor,m,A. J. P. Taylor
3895,César Sampaio,Сезар Сампаю,Сезар Сампайо,Сезар Сампайо,Сезар Сампайо,César Sampaio,César Sampaio,m,César Sampaio
3896,Malikszah I,Малік-шах I,Малік-шах,Мелик-шах I,Малик Шах I,Malik Šah I,Melik-šáh I,m,Malik-Shah I
3897,Herenniusz Decjusz,Герэній Этруск,Геренній Етруск,Геренний Этруск,Херений Етруск,Herenij Etrusk,Decius mladší,m,Herennius Etruscus
3898,Claudio Abbado,Клаўдзіа Абада,Клаудіо Аббадо,Клаудио Аббадо,Клаудио Абадо,Claudio Abbado,Claudio Abbado,m,Claudio Abbado
3899,Abd al-Karim,Абд аль-Керым,Мухаммед ібн Абд аль-Крім аль-Хаттабі,Абд аль-Крим,Абд ел-Крим,Abd El Krim,Muhammad ibn Abd al-Karím al-Chattábí,m,Abd el-Krim
3900,Abd ar-Rahman I,Абдарахман I,Абдаррахман I,Абд ар-Рахман I,Абд ал-Рахман I,Abd Al Rahman I,Abd ar-Rahmán I,m,Abd al-Rahman I
3901,Abdülhamid II,Абдул-Хамід II,Абдул-Гамід II,Абдул-Хамид II,Абдул Хамид II,Abdul Hamid II,Abdulhamid II,m,Abdul Hamid II
3902,Daniel Auber,Даніэль Абер,Даніель Обер,Даниэль Обер,Даниел Обер,Daniel François Esprit Auber,Daniel Auber,m,Daniel Auber
3903,Joseph Joffre,Жазэф Жак Сезар Жофр,Жозеф Жоффр,Жозеф Жоффр,Жозеф Жофър,Joseph Jacques Joffre,Joseph Joffre,m,Joseph Joffre
3904,Anastazja Romanowa ,Анастасія Мікалаеўна,Анастасія Миколаївна,Анастасия Николаевна,Анастасия Николаевна,Anastazija Romanova,Anastázie Nikolajevna,f,Grand Duchess Anastasia Nikolaevna of Russia
3905,Mikoláš Aleš,Мікалаш Алеш,Міколаш Алеш,Миколаш Алеш,Миколаш Алеш,Mikoláš Aleš,Mikoláš Aleš,m,Mikoláš Aleš
3906,Maicon,Майкон Сізенанду,Дуглас Майкон,Майкон Сизенандо,Майкон,Maicon Sisenando,Maicon Douglas Sisenando,m,Maicon
3907,Edin Džeko,Эдзін Джэка,Едін Джеко,Эдин Джеко,Един Джеко,Edin Džeko,Edin Džeko,m,Edin Džeko
3908,Liaquat Ali Khan,Ліякат Алі Хан,Ліакат Алі Хан,Лиакат Хан,Лиакат Али Хан,Liakvat Ali Kan,Líákat Alí Chán,m,Liaquat Ali Khan
3909,Muhammad Ikbal,Мухамад Ікбал,Мухаммад Ікбал,Мухаммад Икбал,Мохамед Икбал,Muhammad Iqbal,Muhammad Iqbal,m,Muhammad Iqbal
3910,Maria Romanowa ,Марыя Мікалаеўна ,Марія Миколаївна,Мария Николаевна ,Мария Николаевна ,Velika vojvodinja Marija Nikolajeva Ruska,Marie Nikolajevna,f,Grand Duchess Maria Nikolaevna of Russia
3911,Božena Němcová,Бажэна Немцава,Божена Немцова,Божена Немцова,Божена Немцова,Božena Němcová,Božena Němcová,f,Božena Němcová
3912,Lubor Niederle,Любар Нідэрле,Любор Нідерле,Любор Нидерле,Любор Нидерле,Lubor Niederle,Lubor Niederle,m,Lubor Niederle
3913,Lepa Brena,Лепа Брэна,Лепа Брена,Лепа Брена,Лепа Брена,Lepa Brena,Lepa Brena,f,Lepa Brena
3914,Mileva Marić,Мілева Марыч,Мілева Марич,Милева Марич,Милева Марич,Mileva Marić,Mileva Marićová,f,Mileva Marić
3915,Ceca Ražnatović,Святлана Ражнатавіч,Світлана Ражнатович,Светлана Ражнатович,Светлана Ражнатович,Svetlana Ražnatović,Ceca,f,Ceca
3916,Endre Ady,Эндрэ Адзі,Ендре Аді,Эндре Ади,Ендре Ади,Endre Ady,Endre Ady,m,Endre Ady
3917,Zygmunt Batory,Жыгманд Батары,Жигмонд Баторі,Жигмонд Батори,Сигизмунд Батори,Sigismund Báthory,Zikmund Báthory,m,Sigismund Báthory
3918,Branko Ćopić,Бранка Чопіч,Бранко Чопич,Бранко Чопич,Бранко Чопич,Branko Ćopić,Branko Ćopić,m,Branko Ćopić
3919,Olibriusz,Алібрый,Олібрій,Олибрий,Олибрий,Olibrij,Olybrius,m,Olybrius
3920,Alija Izetbegović,Алія Ізетбегавіч,Алія Ізетбегович,Алия Изетбегович,Алия Изетбегович,Alija Izetbegović,Alija Izetbegović,f,Alija Izetbegović
3921,Carl Menger,Карл Менгер,Карл Менгер,Карл Менгер,Карл Менгер,Carl Menger,Carl Menger,m,Carl Menger
3922,Franc Miklošič,Франья Міклашыч,Франьо Міклошич,Франц Миклошич,Франц Миклошич,Franc Miklošič,Franc Miklošič,m,Franz Miklosich
3923,Ludwig Minkus,Людвіг Мінкус,Людвіг Мінкус,Людвиг Минкус,Лудвиг Минкус,Ludwig Minkus,Ludwig Minkus,m,Ludwig Minkus
3924,Joseph von Fraunhofer,Іозеф Фраўнгофер,фон Йозеф,Йозеф Фраунгофер,Йозеф фон Фраунхофер,Joseph von Fraunhofer,Joseph von Fraunhofer,m,Joseph von Fraunhofer
3925,Ivica Vastić,Івіца Васціч,Івиця Вастич,Ивица Вастич,Ивица Вастич,Ivica Vastić,Ivica Vastić,f,Ivica Vastić
3926,Marija Šestić,Марыя Шэсціч,Марія Шестіч,Мария Шестич,Мария Шестич,Marija Šestić,Marija Šestićová,f,Marija Šestić
3927,Lewis Hamilton,Льюіс Хэмілтан,Льюїс Гамільтон,Льюис Хэмилтон,Луис Хамилтън,Lewis Hamilton,Lewis Hamilton,m,Lewis Hamilton
3928,Julius Nyerere,Джуліус Ньерэрэ,Джуліус Ньєрере,Джулиус Ньерере,Джулиъс Ниерере,Julius Nyerere,Julius Nyerere,m,Julius Nyerere
3929,Hedy Lamarr,Хедзі Ламар,Геді Ламар,Хеди Ламарр,Хеди Ламар,Hedy Lamarr,Hedy Lamarrová,f,Hedy Lamarr
3930,Albrecht III Habsburg,Альбрэхт III ,Альбрехт III ,Альбрехт III ,Албрехт III ,Albreht III. Habsburški,Albrecht III. Habsburský,m,Albert III
3931,Fryderyk II Bitny,Фрыдрых II Ваяўнік,Фрідріх II Австрійський,Фридрих II ,Фридрих II Бабенберг,Friderik II. Prepirljivi,Fridrich II. Babenberský,m,Frederick II
3932,Marie von Ebner-Eschenbach,Марыя фон Эбнер-Эшэнбах,Марія фон Ебнер-Ешенбах,Мария Эбнер-Эшенбах,Мария фон Ебнер-Ешенбах,Marie von Ebner-Eschenbach,Marie von Ebner-Eschenbachová,f,Marie von Ebner-Eschenbach
3933,Nico Rosberg,Ніка Росберг,Ніко Росберг,Нико Росберг,Нико Росберг,Nico Rosberg,Nico Rosberg,m,Nico Rosberg
3934,Maia Sandu,Мая Санду,Мая Санду,Майя Санду,Мая Санду,Maia Sandu,Maia Sanduová,f,Maia Sandu
3935,Lilia Podkopajewa,Лілія Аляксандраўна Падкапаева,Лілія Подкопаєва,Лилия Подкопаева,Лилия Подкопаева,Lilija Podkopajeva,Lilia Podkopajevová,f,Lilia Podkopayeva
3936,Goran Ivanišević,Горан Іванішавіч,Горан Іванишевич,Горан Иванишевич,Горан Иванишевич,Goran Ivanišević,Goran Ivanišević,m,Goran Ivanišević
3937,Daniił Kwiat,Данііл Вячаслававіч Квят,Данило Квят,Даниил Квят,Даниил Квят,Daniil Kvjat,Daniil Kvjat,m,Daniil Kvyat
3938,Karolina Goczewa,Караліна Гочава,Кароліна Гочева,Каролина Гочева,Каролина Гочева,Karolina Gočeva,Karolina Gočeva,f,Karolina Gočeva
3939,Prince,Прынс,Прінс,Принс,Принс,Prince ,Prince,m,Prince
3940,Saławat Jułajew,Салават Юлаеў,Салават Юлаєв,Салават Юлаев,Салават Юлаев,Salavat Julajev,Salavat Julajev,m,Salawat Yulayev
3941,Georgi Dimitrow,Георгі Міхайлаў Дзімітроў,Георгій Димитров,Георгий Димитров,Георги Димитров,Georgi Dimitrov,Georgi Dimitrov,m,Georgi Dimitrov
3942,Thomas Hitzlsperger,Томас Гіцльспергер,Томас Гітцльшпергер,Томас Хитцльспергер,Томас Хицлспергер,Thomas Hitzlsperger,Thomas Hitzlsperger,m,Thomas Hitzlsperger
3943,Al-Farabi,Аль-Фарабі,Аль-Фарабі,Аль-Фараби,Фараби,Al-Farabi,Al-Fárábí,m,Al-Farabi
3944,Daniel Ricciardo,Даніэль Рыкарда,Данієль Ріккардо,Даниэль Риккардо,Даниел Рикардо,Daniel Ricciardo,Daniel Ricciardo,m,Daniel Ricciardo
3945,Felipe Massa,Феліпі Маса,Феліпе Масса,Фелипе Масса,Фелипе Маса,Felipe Massa,Felipe Massa,m,Felipe Massa
3946,Damon Hill,Дэйман Хіл,Деймон Гілл,Деймон Хилл,Деймън Хил,Damon Hill,Damon Hill,m,Damon Hill
3947,Jacques Villeneuve,Жак Вільнёў,Жак Вільнев,Жак Вильнёв,Жак Вилньов,Jacques Villeneuve,Jacques Villeneuve,m,Jacques Villeneuve
3948,Max Verstappen,Макс Верстапен,Макс Ферстаппен,Макс Ферстаппен,Макс Верстапен,Max Verstappen,Max Verstappen,m,Max Verstappen
3949,Aleksandros Ipsilantis,Аляксандр Канстанцінавіч Іпсіланці,Олександр Іпсіланті,Александр Ипсиланти,Александър Ипсиланти,Alexander Ypsilantis,Alexandros Ypsilanti,m,Alexander Ypsilantis
3950,Dżamała,Джамала,Джамала,Джамала,Джамала,Džamala,Džamala,f,Jamala
3951,Burebista,Бурэбіста,Беребіста,Буребиста,Буребиста,Burebista,Burebista,m,Burebista
3952,Gheorghe Hagi,Георгэ Хаджы,Георге Хаджі,Георге Хаджи,Георге Хаджи,Gheorghe Hagi,Gheorghe Hagi,m,Gheorghe Hagi
3953,Komitas Wardapet,Камітас,Комітас,Комитас,Комитас,Komitas Vardapet,Komitas,m,Komitas
3954,Josef Dobrovský,Іосеф Добраўскі,Йосеф Добровський,Йосеф Добровский,Йозеф Добровски,Josef Dobrovský,Josef Dobrovský,m,Josef Dobrovský
3955,Irakli Abaszydze,Іраклій Вісарыёнавіч Абашыдзэ,Іраклій Абашидзе,Ираклий Абашидзе,Ираклий Абашидзе,Iraklij Abašidze,Irakli Abašidze,m,Irakli Abashidze
3956,Baldwin II de Courtenay,Балдуін II дэ Куртэнэ,Балдуїн II ,Балдуин II де Куртене,Балдуин II,Balduin II. Courtenayski,Balduin II. Konstantinopolský,m,Baldwin II
3957,Liwia Druzylla,Лівія Друзіла,Лівія Друзілла,Ливия Друзилла,Ливия,Livija Druzila,Livia Drusilla,f,Livia
3958,Milan Baroš,Мілан Бараш,Мілан Барош,Милан Барош,Милан Барош,Milan Baroš,Milan Baroš,m,Milan Baroš
3959,Jaroslav Plašil,Яраслаў Плашыл,Ярослав Плашил,Ярослав Плашил,Ярослав Плашил,Jaroslav Plašil,Jaroslav Plašil,m,Jaroslav Plašil
3960,Filip Szwabski,Філіп Швабскі,Філіпп Швабський,Филипп Швабский,Филип Швабски,Filip Švabski,Filip Švábský,m,Philip of Swabia
3961,Raheem Sterling,Рахім Стэрлінг,Рахім Стерлінг,Рахим Стерлинг,Рахим Стърлинг,Raheem Sterling,Raheem Sterling,m,Raheem Sterling
