,pl,be,uk,ru,bg,sl,cs
207,Benjamin Lee Whorf,Б. Уорф,Лі Бенджамін,Бенджамин Уорф,Бенджамин Уорф,Benjamin Lee Whorf,Benjamin Lee Whorf
208,Benjamin Lee Whorf,Уорф,Лі Бенджамін,Бенджамин Уорф,Бенджамин Уорф,Benjamin Lee Whorf,Benjamin Lee Whorf
209,Edward Sapir,Э. Сэйпір,Едвард Сепір,Эдуард Сепир,Едуард Сапир,Edward Sapir,Edward Sapir
210,Edward Sapir,Э. Сепір,Едвард Сепір,Эдуард Сепир,Едуард Сапир,Edward Sapir,Edward Sapir
211,Edward Sapir,Сепір,Едвард Сепір,Эдуард Сепир,Едуард Сапир,Edward Sapir,Edward Sapir
212,Edward Sapir,Сэйпір,Едвард Сепір,Эдуард Сепир,Едуард Сапир,Edward Sapir,Edward Sapir
213,Noam Chomsky,Н. Хомскі,Ноам Чомскі,Ноам Хомский,Ноам Чомски,Noam Chomsky,Noam Chomsky
214,Noam Chomsky,Хомскі,Ноам Чомскі,Ноам Хомский,Ноам Чомски,Noam Chomsky,Noam Chomsky
215,Edwin Hubble,Хабл,Едвін Габбл,Эдвин Хаббл,Едуин Хъбъл,Edwin Powell Hubble,Edwin Hubble
216,Olga Korbut,Вольга Валянцінаўна Корбут,Ольга Корбут,Ольга Корбут,Олга Корбут,Olga Valentinovna Korbut,Olga Korbutová
217,Krzysztof Kolumb,Хрыстафор Калумб,Христофор Колумб,Христофор Колумб,Христофор Колумб,Krištof Kolumb,Kryštof Kolumbus
218,Kaká,Рыкарда Ізэксан Сантас Лэйтэ,Кака,Кака,Кака ,Kaká,Kaká
219,Clement Attlee,Этлі,Клемент Еттлі,Клемент Эттли,Клемент Атли,Clement Attlee,Clement Attlee
220,Galileusz,Галілеа Галілей,Галілео Галілей,Галилео Галилей,Галилео Галилей,Galileo Galilei,Galileo Galilei
221,Gustav Klimt,Густаў Клімт,Густав Клімт,Густав Климт,Густав Климт,Gustav Klimt,Gustav Klimt
222,Jan Paweł II,Караль Вайтыла,Іван Павло II,Иоанн Павел II,Йоан Павел II,Papež Janez Pavel II,Jan Pavel II
223,Mikołaj Kopernik,Мікалай Капернік,Миколай Коперник,Николай Коперник,Николай Коперник,Nikolaj Kopernik,Mikuláš Koperník
224,Klemens I,Клімент I,Климент I,Климент I,Климент I,Papež Klemen I,Klement I
225,Urban VII,Урбан VII,Урбан VII,Урбан VII,Урбан VII,Papež Urban VII,Urban VII
226,Ewaryst ,Эварыст,Еварист,Эварист ,Еварист,Papež Evarist,Evaristus
227,Jarosław I Mądry,Яраслаў Уладзіміравіч,Ярослав Мудрий,Ярослав Владимирович Мудрый,Ярослав I,Jaroslav Modri,Jaroslav I. Moudrý
228,Pius I,Пій I,Пій I,Пий I,Пий I,Papež Pij I,Pius I
229,Johannes Gutenberg,Іаган Гутэнберг,Йоганн Гутенберг,Иоганн Гутенберг,Йоханес Гутенберг,Johannes Gutenberg,Johannes Gutenberg
230,Abraham Ortelius,Абрахам Артэлій,Абрагам Ортеліус,Аврам Ортелий,Абрахам Ортелий,Abraham Ortelius,Abraham Ortelius
231,George W. Bush,Джордж Буш-малодшы,Вокер Джордж,Джордж Буш,Джордж Уокър Буш,George Walker Bush,George W. Bush
232,George H.W. Bush,Джордж Буш-старэйшы,Джордж Герберт Вокер Буш,Джордж Буш,Джордж Х. У. Буш,George H. W. Bush,George H. W. Bush
233,James Buchanan,Дж. Бюкенен,Джеймс Б'юкенен,Джеймс Бьюкенен,Джеймс Бюканън,James Buchanan,James Buchanan
234,James Buchanan,Бюкенен,Джеймс Б'юкенен,Джеймс Бьюкенен,Джеймс Бюканън,James Buchanan,James Buchanan
235,James Monroe,Дж. Манро,Джеймс Монро,Джеймс Монро,Джеймс Монро,James Monroe,James Monroe
236,James Madison,Дж. Мэдзісан,Джеймс Медісон,Джеймс Мэдисон,Джеймс Мадисън,James Madison,James Madison
237,James Madison,Мэдзісан,Джеймс Медісон,Джеймс Мэдисон,Джеймс Мадисън,James Madison,James Madison
238,James Polk,Джэймс Полк,Нокс Джеймс,Джеймс Полк,Джеймс Полк,James K. Polk,James K. Polk
239,James Polk,Дж. Полк,Нокс Джеймс,Джеймс Полк,Джеймс Полк,James K. Polk,James K. Polk
240,John Tyler,Дж. Тайлер,Джон Тайлер,Джон Тайлер,Джон Тайлър,John Tyler,John Tyler
241,James Garfield,Джэймс Гарфілд,Джеймс Гарфілд,Джеймс Гарфилд,Джеймс Гарфийлд,James Abram Garfield,James A. Garfield
242,James Garfield,Дж. Гарфілд,Джеймс Гарфілд,Джеймс Гарфилд,Джеймс Гарфийлд,James Abram Garfield,James A. Garfield
243,Jimmy Carter,Джэймс Картэр,Джиммі Картер,Джимми Картер,Джими Картър,Jimmy Carter,Jimmy Carter
244,Jimmy Carter,Дж. Картэр,Джиммі Картер,Джимми Картер,Джими Картър,Jimmy Carter,Jimmy Carter
245,Gerald Ford,Джэральд Форд,Джеральд Форд,Джеральд Форд,Джералд Форд,Gerald Ford,Gerald Ford
246,Gerald Ford,Дж. Форд,Джеральд Форд,Джеральд Форд,Джералд Форд,Gerald Ford,Gerald Ford
247,Dwight Eisenhower,Дуайт Эйзенхаўэр,Дуайт Ейзенхауер,Дуайт Эйзенхауэр,Дуайт Айзенхауер,Dwight David Eisenhower,Dwight D. Eisenhower
248,Dwight Eisenhower,Д. Эйзенхаўэр,Дуайт Ейзенхауер,Дуайт Эйзенхауэр,Дуайт Айзенхауер,Dwight David Eisenhower,Dwight D. Eisenhower
249,Dwight Eisenhower,Эйзенхаўэр,Дуайт Ейзенхауер,Дуайт Эйзенхауэр,Дуайт Айзенхауер,Dwight David Eisenhower,Dwight D. Eisenhower
250,Zachary Taylor,З. Тэйлар,Закарі Тейлор,Закари Тейлор,Закари Тейлър,Zachary Taylor,Zachary Taylor
251,Lyndon B. Johnson,Ліндан Джонсан,Ліндон Джонсон,Линдон Джонсон,Линдън Джонсън,Lyndon B. Johnson,Lyndon B. Johnson
252,Lyndon B. Johnson,Л. Джонсан,Ліндон Джонсон,Линдон Джонсон,Линдън Джонсън,Lyndon B. Johnson,Lyndon B. Johnson
253,Mikalojus Konstantinas Čiurlionis,М. Чурлёніс,Константінас Мікалоюс,Микалоюс Чюрлёнис,Микалоюс Чурльонис,Mikalojus Konstantinas Čiurlionis,Mikalojus Konstantinas Čiurlionis
254,Mikalojus Konstantinas Čiurlionis,Чурлёніс,Константінас Мікалоюс,Микалоюс Чюрлёнис,Микалоюс Чурльонис,Mikalojus Konstantinas Čiurlionis,Mikalojus Konstantinas Čiurlionis
255,Millard Fillmore,М. Філмар,Міллард Філлмор,Миллард Филлмор,Милърд Филмор,Millard Fillmore,Millard Fillmore
256,Franklin Delano Roosevelt,Ф. Д. Рузвельт,Делано Франклін,Франклин Рузвельт,Франклин Делано Рузвелт,Franklin Delano Roosevelt,Franklin Delano Roosevelt
257,Charles Francis Richter,Ч. Рыхтэр,Френсіс Чарльз,Чарльз Рихтер,Чарлз Франсис Рихтер,Charles Francis Richter,Charles Richter
258,William McKinley,У. Мак-Кінлі,Вільям Мак-Кінлі,Уильям Мак-Кинли,Уилям Маккинли,William McKinley,William McKinley
259,Bill Clinton,Уільям Клінтан,Білл Клінтон,Билл Клинтон,Бил Клинтън,Bill Clinton,Bill Clinton
260,Bill Clinton,У. Клінтан,Білл Клінтон,Билл Клинтон,Бил Клинтън,Bill Clinton,Bill Clinton
261,William Taft,Уільям Тафт,Говард Вільям,Уильям Тафт,Уилям Тафт,William Howard Taft,William Howard Taft
262,William Taft,У. Тафт,Говард Вільям,Уильям Тафт,Уилям Тафт,William Howard Taft,William Howard Taft
263,Warren Harding,У. Гардзінг,Воррен Гардінг,Уоррен Гардинг,Уорън Хардинг,Warren G. Harding,Warren G. Harding
264,Ulysses Grant,Уліс Грант,Улісс Грант,Улисс Грант,Юлисис Грант,Ulysses S. Grant,Ulysses S. Grant
265,Ulysses Grant,У. Грант,Улісс Грант,Улисс Грант,Юлисис Грант,Ulysses S. Grant,Ulysses S. Grant
266,Thomas Jefferson,Т. Джэферсан,Томас Джефферсон,Томас Джефферсон,Томас Джеферсън,Thomas Jefferson,Thomas Jefferson
267,Thomas Jefferson,Джэферсан,Томас Джефферсон,Томас Джефферсон,Томас Джеферсън,Thomas Jefferson,Thomas Jefferson
268,Woodrow Wilson,Вудра Вільсан,Вудро Вільсон,Вудро Вильсон,Удроу Уилсън,Woodrow Wilson,Woodrow Wilson
269,Woodrow Wilson,В. Вільсан,Вудро Вільсон,Вудро Вильсон,Удроу Уилсън,Woodrow Wilson,Woodrow Wilson
270,Grover Cleveland,Гровер Кліўленд,Гровер Клівленд,Гровер Кливленд,Гроувър Кливланд,Grover Cleveland,Grover Cleveland
271,Grover Cleveland,Г. Кліўленд,Гровер Клівленд,Гровер Кливленд,Гроувър Кливланд,Grover Cleveland,Grover Cleveland
272,Calvin Coolidge,К. Кулідж,Калвін Кулідж,Калвин Кулидж,Калвин Кулидж,Calvin Coolidge,Calvin Coolidge
273,Beda Czcigodny,Беда Вялебны,Беда Преподобний,Беда Достопочтенный,Беда Достопочтени,Beda Častitljivi,Beda Ctihodný
274,Arystoteles,Арыстоцель,Арістотель,Аристотель,Аристотел,Aristotel,Aristotelés
275,Isaac Albéniz,Ісак Альбеніс,Ісаак Альбеніс,Исаак Альбенис,Исак Албенис,Isaac Albéniz,Isaac Albéniz
276,Marija Šerifović,Марыя Шэрыфавіч,Марія Шерифович,Мария Шерифович,Мария Шерифович,Marija Šerifović,Marija Šerifovićová
277,Regiomontanus,Іаган Рэгіямантан,Реґіомонтан,Региомонтан,Йохан Региомонтан,Regiomontan,Regiomontanus
278,Regiomontanus,Рэгіямантан,Реґіомонтан,Региомонтан,Йохан Региомонтан,Regiomontan,Regiomontanus
279,Szimon Peres,Шыман Перэс,Шимон Перес,Шимон Перес,Шимон Перес,Šimon Peres,Šimon Peres
280,Salvador Dalí,Сальвадор Далі,Сальвадор Далі,Сальвадор Дали,Салвадор Дали,Salvador Dalí,Salvador Dalí
281,Platon,Платон,Платон,Платон,Платон,Platon,Platón
282,Diego Velázquez,Дыега Веласкес,Дієго Веласкес,Диего Веласкес,Диего Веласкес,Diego Velázquez,Diego Velázquez
283,Vincent van Gogh,Вінцэнт ван Гог,ван Вінсент,Винсент Ван Гог,Винсент ван Гог,Vincent van Gogh,Vincent van Gogh
284,Ichirō Mizuki,Іціра Мідзукі,Мідзукі Ітіро,Итиро Мидзуки,Ичиро Мидзуки,Ičiro Mizuki,Ičiró Mizuki
285,Szimon Peres,Шымон Перэс,Шимон Перес,Шимон Перес,Шимон Перес,Šimon Peres,Šimon Peres
286,Elżbieta II,Лізавета II,Єлизавета II,Елизавета II,Елизабет II,Elizabeta II. Britanska,Alžběta II
287,Adam Mickiewicz,Адам Міцкевіч,Адам Міцкевич,Адам Мицкевич,Адам Мицкевич,Adam Mickiewicz,Adam Mickiewicz
288,Tukidydes,Фукідыд,Фукідід,Фукидид,Тукидид,Tukidid,Thúkydidés
289,Pablo Neruda,Пабла Нэруда,Пабло Неруда,Пабло Неруда,Пабло Неруда,Pablo Neruda,Pablo Neruda
290,Paul McCartney,Пол Мак-Картні,Пол Маккартні,Пол Маккартни,Пол Маккартни,Paul McCartney,Paul McCartney
291,Anaklet,Анаклет,Анакліт,Клет ,Анаклет I,Papež Anaklet I,Anaklét
292,Agapit I,Агапій I ,Агапіт I,Агапит I,Агапет I,Papež Agapit I,Agapetus I
293,Aleksander I ,Аляксандр I ,Олександр I ,Александр I ,Александър I ,Papež Aleksander I,Alexandr I. 
294,Anaklet,Анаклет ,Анакліт,Клет ,Анаклет I,Papež Anaklet I,Anaklét
295,Bonifacy II,Баніфацый II ,Боніфацій II,Бонифаций II,Бонифаций II,Papež Bonifacij II,Bonifác II
296,Benedykt XV,Бенедыкт XV ,Бенедикт XV,Бенедикт XV,Бенедикт XV,Papež Benedikt XV,Benedikt XV
297,Benedykt XVI,Бенедыкт XVI ,Бенедикт XVI,Бенедикт XVI,Бенедикт XVI,Papež Benedikt XVI,Benedikt XVI
298,Wigiliusz ,Вігілій ,Вігілій,Вигилий ,Вигилий,Papež Vigilij,Vigilius
299,Klemens I,Клімент I ,Климент I,Климент I,Климент I,Papež Klemen I,Klement I
300,Leon XIII,Леў XIII ,Лев XIII,Лев XIII,Лъв XIII,Papež Leon XIII,Lev XIII
301,Paweł VI,Павел VI ,Павло VI,Павел VI,Павел VI,Papež Pavel VI,Pavel VI
302,Pelagiusz I,Пелагій I ,Пелагій I,Пелагий I,Пелагий I,Papež Pelagij I,Pelagius I
303,Pius I,Пій I ,Пій I,Пий I,Пий I,Papež Pij I,Pius I
